T20WorldCup@AFGvsIND@{'weight': 1}
T20WorldCup@IndiavsAfghanistan@{'weight': 3}
T20WorldCup@AfghanistanvsIndia@{'weight': 1}
T20WorldCup@RohithSharma@{'weight': 4}
T20WorldCup@PAKvsNAM.@{'weight': 1}
T20WorldCup@babarazam@{'weight': 2}
T20WorldCup@Semifinal@{'weight': 3}
T20WorldCup@T20WC@{'weight': 18}
T20WorldCup@T20WC2021@{'weight': 31}
T20WorldCup@CricketLover@{'weight': 6}
T20WorldCup@CricketFans@{'weight': 6}
T20WorldCup@CricketLovers@{'weight': 5}
T20WorldCup@CricketTogether@{'weight': 7}
T20WorldCup@asgharafghan@{'weight': 1}
T20WorldCup@INDvNZ@{'weight': 102}
T20WorldCup@IndvsPak@{'weight': 9}
T20WorldCup@RahulGandhi@{'weight': 1}
T20WorldCup@TeamSouthAfrica@{'weight': 6}
T20WorldCup@SouthAfrica@{'weight': 33}
T20WorldCup@SAF@{'weight': 7}
T20WorldCup@TeamBangladesh@{'weight': 14}
T20WorldCup@BNG@{'weight': 13}
T20WorldCup@RassievanderDussen@{'weight': 1}
T20WorldCup@PAKvsNAM@{'weight': 3}
T20WorldCup@TeamNamibia@{'weight': 4}
T20WorldCup@KagisoRabada@{'weight': 5}
T20WorldCup@WorldCup@{'weight': 4}
T20WorldCup@CricketOnKoo@{'weight': 26}
T20WorldCup@MahediHasan@{'weight': 1}
T20WorldCup@QuintondeKock@{'weight': 6}
T20WorldCup@SendOff@{'weight': 1}
T20WorldCup@SAvBAN@{'weight': 12}
T20WorldCup@SAvBAN?@{'weight': 1}
T20WorldCup@FantasyPick@{'weight': 6}
T20WorldCup@NAMvPAK@{'weight': 1}
T20WorldCup@SouthAfricavsBangladesh@{'weight': 3}
T20WorldCup@BANvSA@{'weight': 5}
T20WorldCup@HamidHassan@{'weight': 1}
T20WorldCup@SAvBAN!@{'weight': 1}
T20WorldCup@SouthAfrica?@{'weight': 1}
T20WorldCup@PAKvNAM?@{'weight': 1}
T20WorldCup@SAvsBAN@{'weight': 2}
T20WorldCup@SriLanka@{'weight': 44}
T20WorldCup@JosButtler@{'weight': 17}
T20WorldCup@UAE@{'weight': 1}
T20WorldCup@EoinMorgan@{'weight': 12}
T20WorldCup@AlexHales@{'weight': 1}
T20WorldCup@Shanka@{'weight': 1}
T20WorldCup@Sharjah@{'weight': 4}
T20WorldCup@धनतेरस@{'weight': 6}
T20WorldCup@KaranKundrra@{'weight': 6}
T20WorldCup@AnilDeshmukh@{'weight': 6}
T20WorldCup@TejasswiPrakash@{'weight': 6}
T20WorldCup@Dhanteras2021@{'weight': 6}
T20WorldCup@dhantrayodashi@{'weight': 6}
T20WorldCup@dhanteraswishes@{'weight': 6}
T20WorldCup@DhanterasPuja@{'weight': 6}
T20WorldCup@TeamIndia’s@{'weight': 3}
T20WorldCup@MahelaJayawardene@{'weight': 1}
T20WorldCup@IndiavsNewZealand@{'weight': 16}
T20WorldCup@ENGvSL@{'weight': 42}
T20WorldCup@T20TimeOut@{'weight': 1}
T20WorldCup@ViratKohlicaptain@{'weight': 1}
T20WorldCup@EnglandvsSriLanka@{'weight': 5}
T20WorldCup@MichaelGough@{'weight': 3}
T20WorldCup@UmpireBioBubbleBreach@{'weight': 1}
T20WorldCup@DwainePretorius@{'weight': 4}
T20WorldCup@T20I@{'weight': 1}
T20WorldCup@Series@{'weight': 1}
T20WorldCup@NAM@{'weight': 3}
T20WorldCup@NewZealandvsNamibia@{'weight': 1}
T20WorldCup@NZvNAM@{'weight': 1}
T20WorldCup@quarantine@{'weight': 1}
T20WorldCup@biobubble@{'weight': 1}
T20WorldCup@covid19@{'weight': 1}
T20WorldCup@SouthAfricanCricketTeam@{'weight': 2}
T20WorldCup@TuesdayTrivia:@{'weight': 1}
T20WorldCup@KaneWillamson@{'weight': 1}
T20WorldCup@kooforindia@{'weight': 2}
T20WorldCup@DavidWiese@{'weight': 1}
T20WorldCup@JJSmit@{'weight': 1}
T20WorldCup@PakistanvsNamibia@{'weight': 2}
T20WorldCup@EnglandCricket@{'weight': 3}
T20WorldCup@MitchellSantner@{'weight': 2}
T20WorldCup@PakistanvsNamiba@{'weight': 2}
T20WorldCup@PAKvNAB@{'weight': 1}
T20WorldCup@JammuandKashmir@{'weight': 1}
T20WorldCup@Agra@{'weight': 2}
T20WorldCup@ShoaibMalik@{'weight': 3}
T20WorldCup@ButtlerCentury@{'weight': 1}
T20WorldCup@DidYouKnow:@{'weight': 4}
T20WorldCup@Covid19@{'weight': 1}
T20WorldCup@BioBubble@{'weight': 1}
T20WorldCup@IPL:@{'weight': 1}
T20WorldCup@MeninBlue@{'weight': 1}
T20WorldCup@WorldT20,@{'weight': 1}
T20WorldCup@MSDhoni@{'weight': 5}
T20WorldCup@AsgharAfghan@{'weight': 8}
T20WorldCup@KooOfTheDay@{'weight': 20}
T20WorldCup@podcast@{'weight': 1}
T20WorldCup@engvswi:@{'weight': 1}
T20WorldCup@envvbang@{'weight': 1}
T20WorldCup@ENGvAUS:@{'weight': 1}
T20WorldCup@ENGvSL:@{'weight': 3}
T20WorldCup@eng@{'weight': 1}
T20WorldCup@TeamEngland@{'weight': 9}
T20WorldCup@eoinmorgan@{'weight': 1}
T20WorldCup@koopecricket@{'weight': 6}
T20WorldCup@sabsebadastadium@{'weight': 6}
T20WorldCup@josbuttler@{'weight': 6}
T20WorldCup@ENGvsSL@{'weight': 15}
T20WorldCup@srilanka@{'weight': 2}
T20WorldCup@TeamSriLanka@{'weight': 3}
T20WorldCup@england@{'weight': 2}
T20WorldCup@EngvSL@{'weight': 5}
T20WorldCup@ENG@{'weight': 9}
T20WorldCup@SL@{'weight': 6}
T20WorldCup@Sanaka@{'weight': 2}
T20WorldCup@SureshRaina@{'weight': 2}
T20WorldCup@Hasaranga@{'weight': 2}
T20WorldCup@Love@{'weight': 3}
T20WorldCup@Koo@{'weight': 2}
T20WorldCup@msdhoni@{'weight': 1}
T20WorldCup@T20@{'weight': 5}
T20WorldCup@SriLankaCricket@{'weight': 1}
T20WorldCup@SLvsENG@{'weight': 2}
T20WorldCup@SLvsEng@{'weight': 2}
T20WorldCup@SachinTendulkar@{'weight': 3}
T20WorldCup@Vengsarkar@{'weight': 1}
T20WorldCup@AzharAli@{'weight': 1}
T20WorldCup@ShakibalHasan@{'weight': 1}
T20WorldCup@RussellDomingo@{'weight': 1}
T20WorldCup@CSK@{'weight': 1}
T20WorldCup@NSrinivasan@{'weight': 1}
T20WorldCup@Dhoni@{'weight': 1}
T20WorldCup@IPL2022.@{'weight': 1}
T20WorldCup@गज्जब@{'weight': 1}
T20WorldCup@goldenducks@{'weight': 1}
T20WorldCup@Super12@{'weight': 3}
T20WorldCup@INDvPAK@{'weight': 7}
T20WorldCup@CraigMcMillan@{'weight': 1}
T20WorldCup@Predictions@{'weight': 1}
T20WorldCup@trending@{'weight': 1}
T20WorldCup@IndvsNZ@{'weight': 77}
T20WorldCup@HarbhajanSingh@{'weight': 3}
T20WorldCup@TeamIndiaBioBubble@{'weight': 1}
T20WorldCup@KevinPietersen@{'weight': 1}
T20WorldCup@MohammadAmir@{'weight': 6}
T20WorldCup@IndianTeam@{'weight': 1}
T20WorldCup@IndiaKaShagun@{'weight': 1}
T20WorldCup@GautamGambhir@{'weight': 3}
T20WorldCup@Pietersen@{'weight': 1}
T20WorldCup@newzealandcricketteam@{'weight': 4}
T20WorldCup@SunilGavaskar@{'weight': 2}
