,username,following,followers,totaltweets,retweetcount,retweeters
47,ArfaSays_,370,66848,29213,16,"['i_mzohaibz', 'As__SP', 'screwdriver4821', 'Umairlaar', 'talhabhatti97', 'iftiKha64490102', 'SoCalledArshman', 'SharfSays', 'moeedbinqamar', 'atifscorpio', 'Shakil_Syed74', 'CricketPromo', 'theshumail', 'michaelsahotra']"
48,VVSLaxman281,345,7224552,3769,256,"['karthic18722690', 'NiteShRajwade19', 'RanjitC18434383', 'PavankalyanBan6', 'TheWarrior0911', 'MageshK79196746', 'DileepK66564158', 'ahirnavneet1', 'KartikYadaba', 'ysrayudu9999', 'Sanjeev05148270', 'Sathi97839931', 'DKgaaru', 'Imamhasan01', 'THERAJPUT24', 'Iron_man_PTI', 'IamAbdurCr7', 'Raju_patil7699', 'AnilVirat18VK']"
49,PunjabKingsIPL,112,2613347,47912,83,"['NiteShRajwade19', 'naveenrodrix', 'SiddiqSha13', 'DileepK66564158', 'ede_ganesh', 'Mohan38008211', 'Sridhar29810429', 'Gopi238243385', 'ShekharJamadar1', 'VithuVi45504300', 'bubblyb20466145', 'DKgaaru', 'devanshkumar498', 'MVRRRR', 'GPS_Trackee', 'Ciao_Adio', 'ThirumaleshPri3', 'PJBKINGS', 'thisz_rohit', 'rushikesh_96']"
50,chakrichejarla0,178,25,38,0,[]
51,ICC,600,13651082,98469,879,"['Sujan88358392', 'SubrahmanyamY11', 'IftiyarMohd', 'NadhirShaik1', 'ThePreityEffect', 'Dharan75523617', 'Zayn261', '123Ramvilas', 'UPCOPANUJ', 'URiazfanpage', 'Jeetgurjar000', 'GhoshlyaLal', 'Rajastr737', 'Itz_ishanvj', 'Naniprincefoll3', 'tweet4oliver', 'GanesanUttej', 'Vignesh48230306', 'AbuAlan00', 'Jayasimhatweetz']"
52,SunRisers,96,2806410,45811,129,"['MR360AA', 'Gshirish7', 'Harshambkajal', 'punnashiva7', 'srh_raww', 'MOHDSHABEEL1', 'SanthuG09510487', 'SRPradhan__', 'Aakash49545154', 'LakkojuPhanind1', 'thefilthywriter', 'Khan89317659', 'MISHRA1097', 'akhylreddy', 'MSENIORADVOCATE', 'BawaPahaadi_', 'JainulA11173449', 'VishnuGopal112', 'Praveen_Prabha_', 'shashik70091154']"
53,KKRiders,105,4643144,45402,290,"['Drkkchauhan7661', 'TheWarrior0911', 'sv_shimage', 'Bishnu31083891', 'srk_addictt', 'QasidThe', 'RubinaS91302833', 'MISHRA1097', 'SaveConstituti3', 'Thegame40623569', 'badnamlawyer', 'kazimaqeel3', 'mashu_2001', 'shaikhsaleem64', 'BeingKhanFaizzz', 'ShauvikSaha', 'RohitDu81295481', 'ImranSh67750853', 'karanjjoshi']"
54,mipaltan,171,6981484,70335,80,"['ArunSethu13', 'sweety_sunny35', 'Venkate14937230', 'MahiTarak6', 'Tarun54224101', 'jaggubhai45', 'hitman20835', 'SidAAdhf45', 'PudiChaitanya1', 'anky19120', 'ede_ganesh', 'APowerism', 'connect2sumesh', 'KartikYadaba', 'AlluSk45', 'QyamulUrfDiwana', 'BharatKrJha_', 'NehaDub86934974', 'RuhiSha24307662', 'deeban1997']"
55,leelasai_517,323,29,364,1,['CRICKET_discord']
56,cricbuzz,574,4703566,122311,215,"['Sumanthnallaga2', 'Gokulnath154', 'TheWarrior0911', 'jeetudhingra', 'mass_fan26', 'RajjRajj0703', 'ysrayudu9999', 'Lolita_TNIE', 'AadiSin28600239', 'AqeelViews', 'ANSH272727', 'INDRAATWEETS', 'Atifjakhrani1', 'Aravind070292', 'girishchaithu18', 'dp_karthik', 'RaxRaksh', 'SuNilGudle1', 'RiyaSahil2', 'ClSaro']"
