,username,following,followers,totaltweets,retweetcount,retweeters
422,Hiroshi64788628,169,967,116639,5,"['VishwambharWad', 'NipunNanda', 'privin07', 'Umrkhalil227661', 'jackkate4ever']"
423,jackkate4ever,1073,997,158731,5,"['VishwambharWad', 'NipunNanda', 'privin07', 'Umrkhalil227661', 'Hiroshi64788628']"
424,pravinhdv622,803,696,27051,0,[]
425,Anokhi62828025,180,46,5574,0,[]
426,SsrHerefor,840,1196,22203,3,"['ShyamaV1', 'itssSSR___', 'Anshu_AMU']"
427,Adityachhapeka3,48,35,576,3,"['VishwambharWad', 'NipunNanda', 'webdeveloper008']"
428,privin07,1560,2500,191239,4,"['VishwambharWad', 'Hiroshi64788628', 'NipunNanda', 'SSRMUFOREVER86']"
429,kushi123456,543,550,17090,0,[]
430,SsrHerefor,840,1196,22203,0,[]
431,djdavideisen,802,466,1715,1,['VishwambharWad']
432,Anuja70285,15,2,823,1,['VishwambharWad']
433,ShivaniSinha26,61,21,1976,6,"['Vandana05715030', 'tanvitare', 'Hemavatir4', 'TheEnigmatic_1', 'imvikverma', 'Sushantify']"
434,SeemaR001,40,116,14278,0,[]
435,Rajeshs09315524,312,368,58336,1,['Reality08387397']
436,itsshilpasamai,396,1879,23861,1,['VishwambharWad']
437,imMUZIKA,90,431,2690,2,"['SMenon04', 'ncan2020']"
438,Leema2706,55,38,2188,0,[]
439,GoyalPradeepCA,1847,1298,52590,3,"['Vandana05715030', 'TheEnigmatic_1', 'Sushantify']"
440,kvi10981098,556,451,18316,4,"['Vandana05715030', 'TheEnigmatic_1', 'Sushantify', 'VishwambharWad']"
441,Faru4S,481,359,11257,3,"['VishwambharWad', 'BhagyavatiPand1', 'Pammi37293516']"
442,Gitanjali_DS,90,3688,35147,8,"['DharmHindustan1', 'SahooRaki', 'VipulPa15910506', 'anirudh_rawal', 'Prashan61607181', 'GhoshlyaLal', 'Arjun1_bs', 'kkgiree']"
443,kvi10981098,556,451,18316,3,"['VishwambharWad', 'RiteshM98888343', 'ak47_anish']"
444,GoyalPradeepCA,1847,1298,52590,1,['VishwambharWad']
445,MurliMenon6,1118,2146,23569,7,"['SMenon04', 'DebdulalSunita', 'sparky33111', 'MeetuSoni3', 'akanksh93273571', 'saloni202020', 'nitzugarg']"
446,i_B3li3ve,189,42,1182,2,"['SMenon04', 'stranger1430']"
447,Lawangeenzwanan,675,847,48978,13,"['VishwambharWad', 'NipunNanda', 'Remember8_13Jun', 'ShyamaV1', 'Geetha55795096', 'MEENU82433774', 'anandi1232', 'boycott_halaal', 'Sushantify', 'nona95903460', 'bhavika58621907', 'Rohaanii22', 'TweetyTweeetz']"
448,vanitaritesh,148,22,2929,1,['VishwambharWad']
449,vaibhav_singh45,110,12,68,2,"['DharmHindustan1', 'SahooRaki']"
450,shivapooje123,830,214,7470,2,"['VishwambharWad', 'Remember8_13Jun']"
451,shivapooje123,830,214,7470,1,['VishwambharWad']
452,dhurvii,32,73,5135,0,[]
453,itss_antara,758,682,22518,6,"['Priyank74685077', 'officialK007', 'its_ssr_shahil', 'itsmanashiSSR', 'FabulousRaviRaj', 'its_your_komal']"
454,kkeshaw68,163,11,1380,2,"['SMenon04', 'stranger1430']"
455,Wizilante7,77,2,333,0,[]
456,RRS_InnerVoice,1679,1799,112584,11,"['SreenivasPai5', 'jorajetley', 'Shreyao9o7', 'SandyDutta11', 'SardaSsrian', 'its_sush_fan', 'neethu_sony', 'Nyay4SSR', 'Justice78602373', 'cv148', 'RRS_InnerVoice']"
457,TomBhaiSSRian,1931,3005,178131,7,"['HeliPandya8', 'VishwambharWad', 'RRS_InnerVoice', 'Justice78602373', 'KiHoya2', 'MannyNotBoT1', 'cv148']"
458,Swarna07628831,184,220,59759,2,"['VishwambharWad', 'itssSSR___']"
459,amazing43068152,206,196,57473,3,"['VishwambharWad', 'Snigdhapriya7', 'SumanCh25649817']"
460,SsrHerefor,840,1196,22203,0,[]
461,Sushant76121260,1657,897,32997,0,[]
462,MissingSSR,730,466,16601,2,"['VishwambharWad', 'itsSSRvibes']"
463,GoyalPradeepCA,1847,1298,52590,1,['VishwambharWad']
464,KetanJoshi1,144,81,2914,1,['VishwambharWad']
