,username,following,followers,totaltweets,retweetcount,retweeters
469,lgbtqremotejobs,17,9,37,6,"['Alexandra132', 'tophersart', 'HatManCanLTD', 'BandCampRT', 'BrowneProject', 'SoundTrackBoost']"
470,NYSLGBTNetwork,528,772,2877,1,['princessjanaepl']
471,rebel_queer_N,357,292,8398,65,"['minprodist', 'swathi_arsekar', 'kpb1331', 'SamiraNadkarni', 'AthulyaManoj7', 'celebratelouiss', 'wallflower_213', 'Pillow_History', 'avgspacelover', 'DianeNguyen_90', 'iamryanadams25', 'webseongie', 'gluppschlopp', 'MukhtarX5', 'Aragon_1000', 'saccoglossus', 'whytuhina', 'amirteja2', 'Ayushman_21p']"
472,prismnpen,927,871,1636,0,[]
473,galena_star,59,43,362,0,[]
474,AHollandFDN,36,7,77,0,[]
475,DiversityInc,5218,81293,18423,0,[]
476,TrevorProject,6193,337958,32357,33,"['UGH_isabelle', 'Megan_Cadwell_', 'MegsDreamDesign', 'MHcrisisSupport', 'Leilani1382', 'fictional_livin', 'TinaMarie_80s', 'BoofDemon', 'guidethetigers', 'SpectreOfEarth', 'rthomasknapp8', 'PinkSheepNews', 'kiririkyu', 'EmilyRose4231', 'disneyvwdmom', 'camphalfblood', 'RaquelLuvsRoman', 'DrJolyn', 'JamieVamp']"
477,ETalkUK,1521,595,26428,2,"['JFSebastian146', 'idek3339']"
478,RWezenaar,1936,746,9677,0,[]
479,Foxmental_X,5917,5483,257656,1,['ScottVarney501']
480,AmyCringeneck,466,517,32250,3,"['cybrninjamifune', 'oneofthejohns', 'tylersowings']"
481,CamManCraft,518,340,314,0,[]
482,DoMoreLGBTQ,227,301,2432,1,['GEDmagazine']
483,XLGBTQCOIN,8,2024,70,141,"['vlicoach14', 'Luke71917957', 'OHKA350', 'AlavaJhonan', 'xckiel', 'Dmitry_Kovach', 'Thepalepastel', 'aria_wintle', 'vtuskan', 'mario82256825', 'JennilynFlore18', 'JennycaTelan', 'falan_luthers', 'swimfun_207', 'Kelcia68709879', 'midnytstormcoin', 'CarbajosaWarren', '950mJ3QSuxVxErs', 'AMMCrypto', 'XRpCyrine']"
484,InterPride,743,7598,10055,1,['JulianSanjivan']
485,TheArt_ofVago,56,5854,717,522,"['forth_beam', 'charles_oberonn', '_DYN4MIGHT', 'Renki_75', 'LoveuuK4gsx', 'Nasximento1', 'Pexitron', 'Denryue', 'nachowolf_19', 'isablight', 'mcniddley', 'LeviJones101st', 'Flightless_Wren', 'agenderarcee', 'GoblinVs', 'CbrrFei11', 'YangIsLazy']"
486,ETalkUK,1521,595,26428,2,"['JFSebastian146', 'idek3339']"
487,jfinn6511,19004,17359,55331,42,"['jfinn6511', 'GedyeGedi', 'MadameEarlGrey', 'EmperorBlargus', 'ecorse1', 'JacobRAdkins', 'holybullies', 'marcody8', 'LiberalTeriLee', 'Knowledge2Seek', 'SylviaB26189116', 'FUBAR87861295', '46mingo', 'waketfuamerica', 'gfounder1', 'AliceGrimaude', 'trishmc1958', 'Truactive']"
488,CharlOTte_Paeds,1160,910,3304,0,[]
489,LouiseScottacts,1072,604,2666,4,"['SwinfenGeorgina', 'alyxmc_xo', 'NewCLanArts', 'CallumDKnight']"
490,Gubbs16,25,17,63,1,['GilenRogue']
491,GLSEN,1893,106496,21752,25,"['OjrhsG', 'LbnNetanya', 'MargyMacLibrary', 'autumndriskill', 'Pam_Antos', 'RainbowCafeIL', 'Ric0307', 'MrFluff03446656', 'NCLRights', 'grafton_sjc', 'Whatthemamasaw', 'MaxMicallef', 'mdspaonline', 'Active_Minds', 'PrEP4CT', 'PFLAGsrq', 'pflagcolumbus', 'HashtagHeyAlexa']"
492,jfinn6511,19004,17359,55331,16,"['DjJetCityWoman', 'jfinn6511', 'peter_gillet', 'MadameEarlGrey', 'Gloucestergal2', 'MSilvercloud', 'shakeycrackers', 'bengin1003', 'bedini_i', 'LawnDivine582', 'CrawfishGay2Fay', 'male_taurean', 'CantoXIII', 'JimmyLeeMobley', 'holybullies', 'SixPersistsBlue']"
493,laurelwanrow,1713,1278,10888,10,"['barbmeyers', 'NKelleherAuthor', 'LindseyCDuncan', 'JenStevenson', 'hammered2019', 'patesden', 'followyouswap', 'v_knipe', 'LEHarrison1', 'LancsBusRT']"
494,theWWHpod,110,21,101,0,[]
495,CTPrideCenter,690,1231,1811,0,[]
496,LouiseScottacts,1072,604,2666,4,"['SwinfenGeorgina', 'alyxmc_xo', 'NewCLanArts', 'CallumDKnight']"
497,Glam_VonGrimm,583,1376,3354,0,[]
498,herbookish,1291,1417,9569,10,"['TheQuickandthe4', 'BooksAre42', 'elspells13', 'kerrimcbooknerd', 'bookdutchesses', 'BookreviewsKb', 'rosegoldreports', 'shelfofunread', 'readerandom', 'shelvesofstarl1']"
499,WarnockWarrior,23691,25474,333861,8,"['tampalm', 'CNJ08540', 'need_over_greed', 'MarciaBunney', 'sunnyfields123', '51ezmunie', 'KlipKris', 'WolfNW']"
