,username,following,followers,totaltweets,retweetcount,retweeters
387,Khushi4justice,1818,7271,399385,28,"['nuthan_ch', 'PurnimaSengup11', '_ADITICHOURASIA', 'nisha_ukris', 'its_your_komal', 'SsriansUnited', 'Anjali_ssrian', 'Ssrdishajustice', 'its_Rishika_', 'Sush_Lov', 'Keerthi85728099', 'ChintuJainHS', 'LuvUSushant', 'FLIPKART_420', 'Cautious_Nature', 'SmyCraze', 'DIPIKA76375797', 'arpitaP18', 'SatyaSSRian1', 'SSRinmyheart']"
388,MavoSthe,9861,9005,81068,1,['Skylyes']
389,microsoftnews,456,2406,115780,0,[]
390,MSN,757,227155,274502,1,['RitchieJodi']
391,Khushi4justice,1818,7271,399385,28,"['nuthan_ch', 'PurnimaSengup11', '_ADITICHOURASIA', 'nisha_ukris', 'its_your_komal', 'SsriansUnited', 'Anjali_ssrian', 'Ssrdishajustice', 'its_Rishika_', 'Sush_Lov', 'Keerthi85728099', 'ChintuJainHS', 'LuvUSushant', 'FLIPKART_420', 'Cautious_Nature', 'SmyCraze', 'DIPIKA76375797', 'arpitaP18', 'SatyaSSRian1', 'SSRinmyheart']"
392,GetTheLOutUK,696,3793,2293,117,"['WildRedWord', 'JeanWyldbore', 'wildwood62', 'RadFem_KatH', 'dorsetresisters', 'SBeresford4', 'GetTheLOutUK', 'LandyRex', 'allkidsbefree', 'roorooyes4', 'joolzzt', 'thumbwitch', 'Vive_Lez_Vulva', 'telreth', 'JammersMinde', 'inmyownfashion2', 'MistressCopper', 'O_CaptainMyCap']"
393,MrZackeryWalls,64456,67183,173744,0,[]
394,MavoSthe,9861,9005,81068,1,['Skylyes']
395,htTweets,149,8268835,971776,2,"['Arun562003', 'Iamparth_1']"
396,IBTimes,61,120764,197177,0,[]
397,pinerpiner,262,10535,337,56,"['catsfaith', 'NancyYunTang', 'BruiseBringMore', 'bert_on_spec', 'chenchenzh', 'eggsis10tialist', 'LOudestVibE', 'xinwenxiaojie', 'ChuQiao18', 'amyue', 'Changxche', 'TheAnalytic', 'LarrypageB', 'GrandRevivalYay', 'elisabeth_ptl', 'TaiwanCulture', 'hermesstrategy', 'hkdemonow', 'suqi_wu_', 'PpaaddPpaadddd']"
398,Khushi4justice,1818,7271,399385,28,"['nuthan_ch', 'PurnimaSengup11', '_ADITICHOURASIA', 'nisha_ukris', 'its_your_komal', 'SsriansUnited', 'Anjali_ssrian', 'Ssrdishajustice', 'its_Rishika_', 'Sush_Lov', 'Keerthi85728099', 'ChintuJainHS', 'LuvUSushant', 'FLIPKART_420', 'Cautious_Nature', 'SmyCraze', 'DIPIKA76375797', 'arpitaP18', 'SatyaSSRian1', 'SSRinmyheart']"
399,PixelProject,5624,21909,442344,0,[]
400,Khushi4justice,1818,7271,399385,28,"['nuthan_ch', 'PurnimaSengup11', '_ADITICHOURASIA', 'nisha_ukris', 'its_your_komal', 'SsriansUnited', 'Anjali_ssrian', 'Ssrdishajustice', 'its_Rishika_', 'Sush_Lov', 'Keerthi85728099', 'ChintuJainHS', 'LuvUSushant', 'FLIPKART_420', 'Cautious_Nature', 'SmyCraze', 'DIPIKA76375797', 'arpitaP18', 'SatyaSSRian1', 'SSRinmyheart']"
401,AlbertYZhang,1229,613,493,0,[]
402,Dentist56383764,199,96,5054,0,[]
403,takuarm,751,277,20090,0,[]
404,TamePunk,302,86032,340,332,"['GoldingFrank', 'Ponder_Stybbons', 'Firemonkey991', 'QueenOfSlander', 'smoffymoth', 'Yeehaa25', 'BeechamPatrick', 'R24924822', 'DineshPMF1', 'MicheleScheffl1', 'BigVapingNunga', 'Ausshot3Dave', 'stevie_bro', 'anniethenigma', 'Berniewtf', 'Asymetrical13', 'Jessiiee2003', 'billy_pinker', 'kimworldwide', 'CateONeill1']"
405,ComelyBecky,46,24,2411,0,[]
406,GetTheLOutUK,696,3793,2293,117,"['WildRedWord', 'JeanWyldbore', 'wildwood62', 'RadFem_KatH', 'dorsetresisters', 'SBeresford4', 'GetTheLOutUK', 'LandyRex', 'allkidsbefree', 'roorooyes4', 'joolzzt', 'thumbwitch', 'Vive_Lez_Vulva', 'telreth', 'JammersMinde', 'inmyownfashion2', 'MistressCopper', 'O_CaptainMyCap']"
407,GetTheLOutUK,696,3793,2293,117,"['WildRedWord', 'JeanWyldbore', 'wildwood62', 'RadFem_KatH', 'dorsetresisters', 'SBeresford4', 'GetTheLOutUK', 'LandyRex', 'allkidsbefree', 'roorooyes4', 'joolzzt', 'thumbwitch', 'Vive_Lez_Vulva', 'telreth', 'JammersMinde', 'inmyownfashion2', 'MistressCopper', 'O_CaptainMyCap']"
408,tengbiao,7929,212198,36892,31,"['Maytechummia', 'ChuQiao18', 'tingdc', 'pijiudepi', 'zohrathought', 'WesJWHK', 'ArdenDoggie', 'johan__fischer', 'FY4Chan', 'IQueenjie', 'sonambsten', 'hkdemonow', 'wecando90663356', 'ABCHK12345', 'yaozhang02', 'AddoilNoccp', 'reidteacher', 'HKokbore', 'kevinrogerjames', 'GerdZeiler']"
409,EmilyZFeng,1836,36825,4862,1207,"['ballenger_creek', 'criiistianlm', 'latarjetamorada', 'onwonw1', 'rainplsdntgo', 'cathalemyr', 'David65102926', 'carnatang98', 'Smzerw', 'ChuQiao18', 'pearlescent48', 'XueEven', 'karna232332', 'casual_streamer', 'DCfanforever101', 'JasonSamfield', 'EUREKAaum']"
410,nehasaigol1,39,194,6970,3,"['znanjiani', 'do_jeeney']"
411,MeTooEP,1071,5547,816,7,"['LaeThissen', 'JulieCapoulade', 'SarahLoriato', 'JCIvars', 'JeannePonte', 'AnniHirvela', 'Irene_QS']"
412,yamchung5,745,412,13030,4,"['cassandraxhk', 'Lawyer_A_Ho', 'SouthOfTheEarth', 'EdwardL30161051']"
413,crypy_cryptor,84,55,631,0,[]
414,nytimes,854,50847566,452269,331,"['MarioLi01896012', 'whateverhewants', 'aoke1989', 'michael91128', 'XueEven', 'karna232332', 'danizaken', 'gdgzlck', 'GabeShepperd', 'MadAtoms23', '1nomdeplume', 'domisoHK', 'aliyoung_com', 'minkhantcf', 'Adriana11100542']"
415,Dentist56383764,199,96,5054,0,[]
416,eamonnMon,164,40,2789,0,[]
417,docuterror,6056,13016,158299,1,['MentalHealthBo5']
418,shades_dirty,3610,6244,24767,8,"['MT_Ahmed_', 'NanananaBrown', 'arxh10rx', 'kitty_funk', 'jmal1039', 'HornbyJanice', 'Bobbyghosh98', 'peacepumpkinpic']"
419,shades_dirty,3610,6244,24767,9,"['MT_Ahmed_', 'NanananaBrown', 'arxh10rx', 'kitty_funk', 'jmal1039', 'HornbyJanice', 'SavidDtarkman', 'shesrideordie']"
420,Dave_Pittman,416,2539,6444,15,"['voiceofsurvivor', 'killallrapists1', 'randyb397', 'JaimeConcha10', 'NicoleCaroli1', 'Christ_Kindness', 'randolph_header', 'CalvinistBatman', 'CPTSDGirl', 'emsurvivors', 'PatrickEMills', 'RCsurvivors', 'ASobocki', 'sex_abuse_news', 'loveisbroken4u']"
421,shades_dirty,3610,6244,24767,10,"['kimberlyc7510', 'MT_Ahmed_', 'HornbyJanice', 'KatLabrash', 'answerallman', 'char_lawyer', 'peacepumpkinpic', 'shesrideordie', 'NanananaBrown', 'ThePeoplesHubUK']"
422,Calico_Telon,12,2,14,0,[]
423,EmilyZFeng,1836,36825,4862,1207,"['ballenger_creek', 'criiistianlm', 'latarjetamorada', 'onwonw1', 'rainplsdntgo', 'cathalemyr', 'David65102926', 'carnatang98', 'Smzerw', 'ChuQiao18', 'pearlescent48', 'XueEven', 'karna232332', 'casual_streamer', 'DCfanforever101', 'JasonSamfield', 'EUREKAaum']"
